participant_id	ses	Other	Emotion	Realistic	Deliberate	Intrusive	Words	Abstract	Creative	Decoupling	Detailed	Temporal D	Future	Important	Stop	Vivid	Thematic	Past	Self	Evolving	Problem	Images	Habit
sub-ADIE006	3mf	3	2	3	2	3	1	3	4	4	3	2	2	2	4	3	2	3	3	3	4	4	1
sub-ADIE006	baseline	2	3	4	4	2	2	4	4	2	2	2	1	2	2	4	2	1	4	4	2	3	1
sub-ADIE007	baseline	1	2	1	4	2	3	1	1	1	4	1	1	2	2	4	4	1	2	2	1	3	2
sub-ADIE008	3mf	2	3	2	2	2	3	2	1	2	3	2	3	2	3	2	2	2	3	3	3	2	2
sub-ADIE008	baseline	3	3	1	2	1	4	3	3	1	3	1	3	3	3	2	3	1	4	2	3	2	2
sub-ADIE020	3mf	2	3	3	3	1	3	1	1	2	3	3	3	4	3	3	2	2	3	3	2	1	3
sub-ADIE020	baseline	2	2	1	3	1	3	1	1	4	4	1	1	1	1	1	4	1	1	1	3	3	1
sub-ADIE023	baseline	2	3	3	1	3	2	3	3	4	3	4	3	3	2	2	2	3	3	2	3	2	3
sub-ADIE027	baseline	3	3	3	3	1	3	2	1	3	3	1	3	3	1	2	3	3	2	3	2	2	3
sub-ADIE029	baseline	1	3	3	3	3	3	1	2	3	4	3	4	2	3	4	2	2	3	3	2	4	3
sub-ADIE034	baseline	1	3	1	2	2	3	1	1	2	3	1	2	3	3	1	3	2	4	3	1	2	2
sub-ADIE038	3mf	1	4	1	1	1	1	1	4	1	4	1	4	4	1	1	1	1	1	4	1	1	1
sub-ADIE038	baseline	1	4	1	1	1	1	4	1	1	1	1	1	4	1	1	4	1	1	1	4	4	1
sub-ADIE053	baseline	3	3	4	1	3	2	2	1	4	3	4	2	1	4	4	2	4	3	2	2	3	4
sub-ADIE073	3mf	2	2	2	4	2	2	1	1	2	4	1	4	1	3	4	2	1	3	3	2	3	2
sub-ADIE073	baseline	3	1	3	1	2	3	2	1	3	2	3	4	3	4	4	3	2	4	2	3	2	4
sub-ADIE108	baseline	3	2	3	3	2	1	1	1	3	2	1	3	2	4	1	2	2	3	4	3	3	3
